CNO,SEX,AGGT,DIV,DETAILED-SUBJECTS,center_id
S0101/0164,M,20,II,CIV:D;HIST:D;GEO:D;KISW:B;ENGL:C;PHY:C;CHEM:C;BIO:B;COMP;STUD:D;B-MATH:C,s0101
S0101/0165,M,32,IV,CIV:F;HIST:F;GEO:F;KISW:C;ENGL:D;BIO:F;B-MATH:F,s0101
S0101/0166,M,33,IV,CIV:F;HIST:F;GEO:F;KISW:F;ENGL:D;BIO:D;B-MATH:F,s0101
S0101/0167,M,25,III,CIV:C;HIST:D;GEO:D;KISW:B;ENGL:D;BIO:D;B-MATH:D,s0101
S0101/0168,M,28,IV,CIV:D;HIST:D;GEO:D;KISW:D;ENGL:D;PHY:X;CHEM:F;BIO:D;B-MATH:D,s0101
S0101/0169,M,19,II,CIV:C;HIST:D;GEO:C;KISW:D;ENGL:C;PHY:C;CHEM:C;BIO:B;B-MATH:B,s0101
S0101/0170,M,22,III,CIV:C;HIST:C;GEO:D;KISW:F;ENGL:C;PHY:C;CHEM:C;BIO:C;B-MATH:D,s0101
S0101/0171,M,21,II,CIV:B;HIST:C;GEO:F;F.ART:C;KISW:C;ENGL:C;BIO:D;B-MATH:C,s0101
S0101/0172,M,14,I,CIV:C;HIST:C;GEO:C;E-D-KIISLAMU:B;KISW:B;ENGL:B;PHY:A;CHEM:C;BIO:B;B-MATH:B,s0101
S0101/0173,M,22,III,CIV:C;HIST:C;GEO:C;KISW:D;ENGL:D;PHY:D;CHEM:C;BIO:D;B-MATH:B,s0101
S0101/0174,M,23,III,CIV:D;HIST:C;GEO:C;E-D-KIISLAMU:C;KISW:C;ENGL:F;BIO:D;B-MATH:C,s0101
S0101/0175,M,17,I,CIV:C;HIST:C;GEO:D;KISW:B;ENGL:C;PHY:B;CHEM:B;BIO:B;B-MATH:D,s0101
S0101/0176,M,26,IV,CIV:D;HIST:C;GEO:C;KISW:C;ENGL:C;BIO:F;B-MATH:F,s0101
S0101/0177,M,14,I,CIV:B;HIST:C;GEO:D;KISW:B;ENGL:B;PHY:B;CHEM:B;BIO:B;B-MATH:B,s0101
S0101/0178,M,20,III,CIV:C;HIST:C;GEO:D;KISW:C;ENGL:C;PHY:C;CHEM:C;BIO:B;B-MATH:F,s0101
S0101/0179,M,31,IV,CIV:F;HIST:D;GEO:D;KISW:D;ENGL:F;BIO:F;B-MATH:D,s0101
S0101/0180,M,18,II,CIV:B;HIST:D;GEO:D;KISW:C;ENGL:C;PHY:C;CHEM:C;BIO:B;B-MATH:B,s0101
S0101/0181,M,22,III,CIV:C;HIST:D;GEO:D;KISW:B;ENGL:C;PHY:D;CHEM:D;BIO:C;B-MATH:C,s0101
S0101/0182,M,34,FLD,CIV:F;HIST:F;GEO:F;KISW:D;ENGL:F;BIO:F;B-MATH:F,s0101
S0101/0183,M,25,III,CIV:D;HIST:F;GEO:D;KISW:F;ENGL:C;PHY:C;CHEM:D;BIO:C;B-MATH:D,s0101
S0101/0184,M,24,III,CIV:C;HIST:D;GEO:C;KISW:D;ENGL:D;PHY:D;CHEM:D;BIO:C;B-MATH:C,s0101
S0101/0185,M,30,IV,CIV:D;HIST:F;GEO:F;E-D-KIISLAMU:D;KISW:C;ENGL:D;BIO:F;B-MATH:F,s0101
S0101/0186,M,19,II,CIV:C;HIST:C;GEO:C;KISW:C;ENGL:C;PHY:B;CHEM:C;BIO:C;B-MATH:B,s0101
S0101/0187,M,28,IV,CIV:F;HIST:C;GEO:D;KISW:C;ENGL:F;BIO:D;B-MATH:D,s0101
S0101/0188,M,23,III,CIV:C;HIST:C;GEO:F;KISW:D;ENGL:C;PHY:D;CHEM:C;BIO:C;B-MATH:D,s0101
S0101/0189,M,24,III,CIV:D;HIST:D;GEO:D;F.ART:D;KISW:C;ENGL:C;BIO:C;B-MATH:C,s0101
S0101/0190,M,25,III,CIV:C;HIST:C;GEO:D;KISW:C;ENGL:D;BIO:C;B-MATH:F,s0101
S0101/0191,M,15,I,CIV:D;HIST:B;GEO:C;KISW:B;ENGL:C;PHY:B;CHEM:C;BIO:B;B-MATH:A,s0101
S0101/0192,M,32,IV,CIV:F;HIST:D;GEO:F;KISW:D;ENGL:F;BIO:D;B-MATH:F,s0101
S0101/0193,M,12,I,CIV:C;HIST:C;GEO:B;KISW:C;ENGL:B;PHY:A;CHEM:A;BIO:B;B-MATH:A,s0101
S0101/0194,M,19,II,CIV:D;HIST:C;GEO:C;KISW:C;ENGL:B;FREN:C;PHY:C;CHEM:C;BIO:B;B-MATH:C,s0101
S0101/0195,M,16,I,CIV:B;HIST:C;GEO:C;E-D-KIISLAMU:B;KISW:C;ENGL:B;PHY:C;CHEM:B;BIO:B;B-MATH:C,s0101
S0101/0196,M,15,I,CIV:C;HIST:B;GEO:C;KISW:B;ENGL:C;PHY:C;CHEM:B;BIO:B;B-MATH:A,s0101
S0101/0197,M,20,II,CIV:C;HIST:C;GEO:C;KISW:C;ENGL:B;PHY:D;CHEM:C;BIO:C;B-MATH:C,s0101
S0101/0198,M,17,I,CIV:C;HIST:C;GEO:C;KISW:C;ENGL:C;PHY:C;CHEM:C;BIO:A;B-MATH:A,s0101
S0101/0199,M,20,II,CIV:D;HIST:C;GEO:C;E-D-KIISLAMU:C;KISW:C;ENGL:C;BIO:B;B-MATH:C,s0101
